V1,V2,set,DM_range
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
23.0,6861.0,1,20to30
30.0,7452.0,2,20to30
27.0,7345.0,3,20to30
29.0,7369.0,4,20to30
29.0,7135.0,5,20to30
29.0,7153.0,6,20to30
29.0,7198.0,7,20to30
30.0,7123.0,8,20to30
30.0,7184.0,9,20to30
30.0,7489.0,10,20to30
22.0,6786.0,11,20to30
30.0,7183.0,12,20to30
30.0,7442.0,13,20to30
30.0,7321.0,14,20to30
30.0,7225.0,15,20to30
30.0,7335.0,16,20to30
30.0,7356.0,17,20to30
30.0,7588.0,18,20to30
30.0,7344.0,19,20to30
30.0,7312.0,20,20to30
30.0,7236.0,21,20to30
30.0,7414.0,22,20to30
30.0,7359.0,23,20to30
27.0,7348.0,24,20to30
30.0,7179.0,25,20to30
30.0,7320.0,26,20to30
30.0,7169.0,27,20to30
30.0,7006.0,28,20to30
30.0,7432.0,29,20to30
40.0,7913.0,0,30to40
40.0,8108.0,1,30to40
39.0,7904.0,2,30to40
38.0,7969.0,3,30to40
38.0,7610.0,4,30to40
37.0,7731.0,5,30to40
40.0,8067.0,6,30to40
40.0,7914.0,7,30to40
38.0,7831.0,8,30to40
39.0,7764.0,9,30to40
40.0,7967.0,10,30to40
40.0,8096.0,11,30to40
40.0,7929.0,12,30to40
30.0,7425.0,13,30to40
40.0,7922.0,14,30to40
40.0,7875.0,15,30to40
40.0,8123.0,16,30to40
38.0,7775.0,17,30to40
40.0,8308.0,18,30to40
40.0,7699.0,19,30to40
37.0,7737.0,20,30to40
38.0,7749.0,21,30to40
40.0,8105.0,22,30to40
39.0,7930.0,23,30to40
40.0,7793.0,24,30to40
39.0,7969.0,25,30to40
40.0,8079.0,26,30to40
37.0,7615.0,27,30to40
40.0,7975.0,28,30to40
40.0,7747.0,29,30to40
20.0,6487.0,0,10to20
16.0,6303.0,1,10to20
18.0,6580.0,2,10to20
20.0,6635.0,3,10to20
20.0,6648.0,4,10to20
20.0,6471.0,5,10to20
20.0,6622.0,6,10to20
18.0,6198.0,7,10to20
17.0,6382.0,8,10to20
18.0,6419.0,9,10to20
19.0,6604.0,10,10to20
20.0,6626.0,11,10to20
20.0,6688.0,12,10to20
20.0,6721.0,13,10to20
20.0,6550.0,14,10to20
19.0,6565.0,15,10to20
20.0,6303.0,16,10to20
20.0,6648.0,17,10to20
18.0,6620.0,18,10to20
20.0,6779.0,19,10to20
20.0,6664.0,20,10to20
20.0,6641.0,21,10to20
20.0,6673.0,22,10to20
20.0,6610.0,23,10to20
11.0,6041.0,24,10to20
20.0,6533.0,25,10to20
20.0,6644.0,26,10to20
19.0,6656.0,27,10to20
20.0,6839.0,28,10to20
20.0,6527.0,29,10to20
30.0,7173.0,0,20to30
